NUMBERS	SAMPLES	ALL	SHORT
S1	017738-1	738-1_S1	738-1
S2	017741-1	741-1_S2	741-1
S3	017756-3	756-3_S3	756-3
S4	017766-1	766-1_S4	766-1
S5	017798-1	798-1_S5	798-1
S6	017833-1	833-1_S6	833-1
S7	017834-2	834-2_S7	834-2
S8	017855-1	855-1_S8	855-1
S9	017863-1	863-1_S9	863-1
S10	017918-3	918-3_S10	918-3
S11	017927-2	927-2_S11	927-2
S12	017834-2_2	834-2_2_S12	834-2_2
S13	017911-1_2	911-1_2_S13	911-1_2
S14	017777-3	777-3_S14	777-3
S15	017787-2	787-2_S15	787-2
S16	017788-1	788-1_S16	788-1
S17	017794-1	794-1_S17	794-1
S18	017835-1	835-1_S18	835-1
S19	017841-3	841-3_S19	841-3
S20	017842-2	842-2_S20	842-2
S21	017884-2	884-2_S21	884-2
S22	017901-2	901-2_S22	901-2
S23	017906-1	906-1_S23	906-1
S24	017911-1	911-1_S24	911-1
S25	017842-2_2	842-2_2_S25	842-2_2
S26	017901-2_2	901-2_2_S26	901-2_2
